55.3674,10.43199
55.36744,10.43197
55.36744,10.43198
55.36744,10.43197
55.36744,10.43199
55.36745,10.43199
55.36745,10.432
55.36745,10.43201
55.36746,10.43201
55.36746,10.43202
55.36746,10.43201
55.36747,10.43201
55.36748,10.432
55.36749,10.43199
55.36749,10.43198
55.36749,10.43197
55.36751,10.43195
55.36754,10.43194
55.36776,10.43191
55.36777,10.4319
55.36778,10.43191
55.36781,10.43191
55.36911,10.43236
55.36911,10.43234
55.36911,10.43232
55.36911,10.4323
55.3691,10.43226
55.3691,10.43224
55.3691,10.43222
55.3691,10.4322
55.3691,10.43218
55.3691,10.43217
55.3691,10.43215
55.36909,10.43207
55.36909,10.43206
55.36909,10.43202
55.36907,10.43175
55.36907,10.43169
55.36907,10.43168
55.36907,10.43164
55.36907,10.4316
55.36907,10.43158
55.36907,10.43157
55.36906,10.43144
55.36906,10.43142
55.36906,10.4314
55.36906,10.43138
55.36907,10.43134
55.36907,10.43133
55.36877,10.43113
55.36876,10.43113
55.36875,10.43114
55.36874,10.43114
55.36873,10.43114
55.36872,10.43114
55.36836,10.43122
55.36833,10.43123
55.3683,10.43123
55.36829,10.43123
55.36828,10.43124
55.36827,10.43124
55.36826,10.43124
55.36825,10.43124
55.3682,10.43125
55.36812,10.43125
55.36811,10.43125
55.3681,10.43125
55.36807,10.43126
55.36806,10.43126
55.36805,10.43126
55.36804,10.43127
55.36803,10.43127
55.36798,10.43127
55.36797,10.43128
55.36796,10.43128
55.36789,10.43132
55.36788,10.43133
55.36785,10.43135
55.36784,10.43135
55.36783,10.43136
55.36777,10.43143
55.36777,10.43144
55.36776,10.43187
55.36776,10.43188
55.36756,10.43184
55.36755,10.43186
55.36753,10.43188
